cohort	gsm	stage	gene	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998214	4	LUM	3185	156.529024658555	3395.43687580728	20347664	0.938023623025755
GSE135251	GSM3998215	2	LUM	1601	69.2039907144757	1570.87029427006	23134504	1.01918026322087
GSE135251	GSM3998216	control	LUM	957	38.3140826753847	1017.41959301748	24977761	0.940614871747964
GSE135251	GSM3998217	control	LUM	447	22.7064838491625	584.021912290249	19686007	0.765382240962644
GSE135251	GSM3998218	control	LUM	528	23.0323412021495	531.791319529765	22924287	0.992870663001574
GSE135251	GSM3998219	0	LUM	524	17.5024369805384	468.890815383845	29938688	1.11753095349296
GSE135251	GSM3998220	control	LUM	617	26.7880014066957	701.860643995831	23032700	0.87909188993316
GSE135251	GSM3998221	control	LUM	912	42.9608626541221	1113.09739324583	21228624	0.819335312016655
GSE135251	GSM3998222	control	LUM	196	8.95031892589232	221.54455783977	21898661	0.884697877082385
GSE135251	GSM3998223	control	LUM	299	14.2517952853059	341.370209113245	20979813	0.875881937022837
GSE135251	GSM3998225	3	LUM	2035	67.6563060980075	1296.22550529074	30078497	1.56994287775841
GSE135251	GSM3998226	4	LUM	2876	93.7298143589122	2095.63135460452	30683940	1.37237877915925
GSE135251	GSM3998227	4	LUM	1004	45.9040657148706	955.509687468203	21871701	1.05074811189019
GSE135251	GSM3998228	1	LUM	731	24.93532251486	596.503942898549	29315843	1.22547387775495
GSE135251	GSM3998229	3	LUM	834	34.742246688614	909.391780412707	24005356	0.917096479167106
GSE135251	GSM3998230	4	LUM	246	12.7142525996383	335.46306563574	19348365	0.733314707936036
GSE135251	GSM3998231	1	LUM	305	12.5728239605541	341.94270603374	24258671	0.891962292565775
GSE135251	GSM3998232	1	LUM	53	2.41127014928992	52.5748030422771	21980117	1.0080874664881
GSE135251	GSM3998233	3	LUM	1064	45.9620622054178	942.853773153704	23149527	1.12848888162274
GSE135251	GSM3998234	1	LUM	352	16.0372874222243	375.5731482947	21948849	0.937234202174106
GSE135251	GSM3998235	2	LUM	784	23.7182286537077	659.914677577225	33054745	1.18803237242477
GSE135251	GSM3998236	1	LUM	580	23.9574819133403	560.883260464567	24209556	1.03408327700777
GSE135251	GSM3998237	2	LUM	483	17.9295571087576	530.767250864466	26938758	0.910003394545034
GSE135251	GSM3998238	2	LUM	247	10.0339064792793	252.902396933128	24616534	0.976661364207282
GSE135251	GSM3998239	3	LUM	1177	43.340664546055	1220.83522337482	27156944	0.96409407057109
GSE135251	GSM3998240	2	LUM	402	17.3206691379499	417.763870853688	23209265	0.96226607432214
GSE135251	GSM3998241	3	LUM	963	38.0469305530127	929.235012312471	25310846	1.0363363274523
GSE135251	GSM3998242	4	LUM	1217	68.7483889744305	1596.12291525069	17702233	0.762472606822299
