cohort	gsm	stage	gene	ensembl_id	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998280	3	LOX	ENSG00000113083	0	0	0	14968247	0.50400899752195
GSE135251	GSM3998281	0	LOX	ENSG00000113083	19	0.794658921725636	17.5102940914463	23909629	1.08507600733453
GSE135251	GSM3998282	3	LOX	ENSG00000113083	19	0.703647542205428	17.5866487027919	27002155	1.08036501559184
GSE135251	GSM3998283	1	LOX	ENSG00000113083	0	0	0	17872324	0.742311935098547
GSE135251	GSM3998284	2	LOX	ENSG00000113083	5	0.235667337077396	6.13951347782488	21216347	0.814396778842386
GSE135251	GSM3998285	4	LOX	ENSG00000113083	14	0.540083450608597	13.9694930867592	25921920	1.00218382392628
GSE135251	GSM3998286	0	LOX	ENSG00000113083	14	0.455598582502639	11.6830734042844	30728805	1.19831481970026
GSE135251	GSM3998287	2	LOX	ENSG00000113083	11	0.390915312923977	9.71844452881893	28139087	1.13186837331641
GSE135251	GSM3998288	0	LOX	ENSG00000113083	16	0.656771743577922	18.0683971978154	24361584	0.885524035409988
GSE135251	GSM3998289	0	LOX	ENSG00000113083	9	0.359670067453723	9.27320511417165	25022933	0.970538221595667
GSE135251	GSM3998290	0	LOX	ENSG00000113083	27	0.713994072262547	16.6880785110598	37815440	1.61792143907438
GSE135251	GSM3998291	1	LOX	ENSG00000113083	13	0.485983088835241	11.2500057858273	26749902	1.15555496125854
GSE135251	GSM3998292	1	LOX	ENSG00000113083	2	0.0938472521477648	2.33991737466724	21311226	0.854731035229149
GSE135251	GSM3998293	0	LOX	ENSG00000113083	8	0.393079675088202	9.95677227481852	20352108	0.803473232006385
GSE135251	GSM3998294	1	LOX	ENSG00000113083	17	0.595847629003115	18.161590632734	28530784	0.93604136024075
GSE135251	GSM3998295	1	LOX	ENSG00000113083	4	0.150293973132773	4.31545093991508	26614507	0.926901975180074
GSE135251	GSM3998296	1	LOX	ENSG00000113083	9	0.333478655920947	8.78950688469478	26988234	1.02394822804812
GSE135251	GSM3998297	2	LOX	ENSG00000113083	6	0.23212703105349	6.17686598475992	25847916	0.97136638787432
GSE135251	GSM3998298	3	LOX	ENSG00000113083	14	0.498717068153499	12.489019401012	28072029	1.12098472670044
GSE135251	GSM3998299	2	LOX	ENSG00000113083	3	0.107723432582762	2.98535511334417	27849094	1.0049055760872
GSE135251	GSM3998300	1	LOX	ENSG00000113083	11	0.372325455095942	9.82258241659027	29544045	1.11986843515012
GSE135251	GSM3998301	3	LOX	ENSG00000113083	43	1.47721970898291	36.7677971591621	29108737	1.16950166510818
GSE135251	GSM3998302	1	LOX	ENSG00000113083	5	0.185154127294722	4.82416199442449	27004529	1.03644944049946
GSE135251	GSM3998303	0	LOX	ENSG00000113083	1	0.0414777476239161	0.998610279853386	24109313	1.00139165415643
GSE135251	GSM3998304	0	LOX	ENSG00000113083	3	0.100903598451036	3.05166494460732	29731348	0.983069915752508
GSE135251	GSM3998305	0	LOX	ENSG00000113083	4	0.136737556087609	3.19623156566306	29253119	1.25147378023914
GSE135251	GSM3998306	1	LOX	ENSG00000113083	7	0.264901153459092	7.45871496174721	26424951	0.938499464840823
GSE135251	GSM3998307	0	LOX	ENSG00000113083	7	0.2521919170401	5.68922688307765	27756639	1.2303956484529
GSE135251	GSM3998308	3	LOX	ENSG00000113083	22	0.744391315957977	17.6414568888422	29554348	1.24706253789699
GSE135251	GSM3998309	3	LOX	ENSG00000113083	28	0.992389576988981	26.2471476192339	28214726	1.06678258552871
GSE135251	GSM3998310	1	LOX	ENSG00000113083	7	0.312465335876801	8.4548389408615	22402485	0.827928249013663
GSE135251	GSM3998311	1	LOX	ENSG00000113083	21	0.583432776208745	16.0315941892888	35993864	1.30991339676192
