approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
RAPGEF3	0.915232271919039	9.26251977817027e-05	55.8738312956487	strong	Structure with Ligand;High-Quality Ligand
BAX	0.607357716461197	9.69669758997115e-05	297.878963431206	strong	Structure with Ligand;High-Quality Ligand
RASEF	1.47384349505969	9.73460435178447e-05	43.1353042095284	weak	Structure with Ligand
MOK	0.615622063939079	0.0001026127731835	50.3656719489509	strong	High-Quality Ligand;Druggable Family
CAT	-0.536791952924457	0.0001052688071749	23093.1160033531	strong	Structure with Ligand;High-Quality Pocket
AP1G2	0.731438302327538	0.0001075384658444	226.649927572185	weak	Structure with Ligand
LXN	1.00947868964751	0.0001125746116809	37.8683391489932	weak	Structure with Ligand
DRC4	0.612916023466375	0.000135466315033	132.847181984549	weak	Structure with Ligand
MAP2	0.782803501934131	0.0001547555456782	66.3935743480466	strong	High-Quality Ligand
MRAS	0.664480896750943	0.0001558917560538	113.801750866492	weak	Structure with Ligand
CYGB	0.815258421482115	0.0001598757855142	214.731298116503	strong	Structure with Ligand;High-Quality Pocket
CNDP1	-0.744773289329031	0.0001669991094959	2477.41307330206	strong	High-Quality Pocket
HHIP	-0.775191976007484	0.0001771074357457	207.385624928966	strong	Structure with Ligand;High-Quality Pocket
ENTPD1	0.7434855632301	0.0002008745889244	99.8284803001552	strong	High-Quality Ligand
SULT1E1	-0.767885175152288	0.000201630997042	767.338302989345	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
FUT4	0.673691882109483	0.0002174374410476	40.2519717283611	strong	High-Quality Ligand
RASL12	1.56778632136466	0.0002300188381393	7.54732530478744	weak	Structure with Ligand
SPON2	0.659311574221254	0.0002448063748724	570.267856999129	strong	High-Quality Pocket
PTP4A3	0.927849833029317	0.0002676613533631	24.5312783035275	strong	High-Quality Ligand
ANG	-0.557426643749975	0.0002797236658594	10809.6676561099	weak	Structure with Ligand
STK36	0.569200917993038	0.0002797236658594	244.870089753319	strong	High-Quality Ligand;Druggable Family
CXCL10	1.24872081225983	0.0002853527947876	278.598530737057	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
PROCR	0.72480280835159	0.0002981489346983	63.5570243544848	strong	Structure with Ligand;High-Quality Pocket
CXCL8	1.99536126738877	0.0003033861646447	23.1213149692303	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
EBPL	-0.716722530948829	0.0003033861646447	1366.45594308614	strong	High-Quality Ligand;Druggable Family
L3MBTL3	-0.648616135139454	0.0003124058700024	109.124604369892	strong	Structure with Ligand;High-Quality Ligand
ELOVL7	1.24301689158127	0.0003238547011521	18.709709631619	weak	Structure with Ligand
PARP6	0.663835450770531	0.0003422296838835	401.795754300798	strong	High-Quality Ligand
ABCC4	0.963295533474884	0.0003444017858094	81.1633137830384	weak	Structure with Ligand;Druggable Family
SLC6A19	1.755520280004	0.0003702874431595	32.4990823978725	weak	Structure with Ligand;Druggable Family
DDB2	0.668705910990014	0.0003702874431595	500.743553141068	strong	High-Quality Pocket
ME3	0.710189529762721	0.0004020233514976	85.9552862840753	weak	Structure with Ligand
MICAL1	0.911579930161842	0.0004101368942948	75.8728101307624	weak	Structure with Ligand
G6PC1	-1.18850915411478	0.0004210693956913	5008.88508355589	weak	Structure with Ligand;Druggable Family
SYT13	1.55188380943128	0.0004302314561428	13.299598942543	strong	High-Quality Pocket
CYP2E1	-0.558842339941268	0.000474731715126	163868.035095202	weak	Structure with Ligand;Med-Quality Pocket;Druggable Family
GNMT	-0.955030935665275	0.00047632298113	3609.04589662702	strong	High-Quality Pocket
SLC12A2	0.833921217961787	0.0004915296560309	120.291879460976	weak	Structure with Ligand;Druggable Family
CUBN	1.23264125232929	0.00049186797243	7.82794380275102	weak	Structure with Ligand
PRC1	0.70541952666318	0.0005169734807589	31.0386512088144	weak	Structure with Ligand
USH1C	1.41152282974577	0.0005585294812126	17.1631070636538	weak	Structure with Ligand
EME1	0.99073142619629	0.000624478086414	6.66626195155413	weak	Structure with Ligand
CALHM2	0.679117087942946	0.0006526953597582	48.4759892673649	weak	Structure with Ligand
IRS1	-0.554842578124451	0.0006695366438445	952.709804217727	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket
SMPDL3A	-0.624901815718486	0.0006704827479353	860.955401884928	weak	Structure with Ligand
SLC34A2	1.3976091105536	0.0006760845333658	26.7221129410546	strong	High-Quality Ligand
